1)sigmaName,2)regulatedName,3)function,5)confidenceLevel 
sigma19,fecA,+,C 
sigma19,fecB,+,C 
sigma19,fecC,+,C 
sigma19,fecD,+,C 
sigma19,fecE,+,C 
sigma24,ahpF,+,S 
sigma24,apaG,+,W 
sigma24,apaH,+,W 
sigma24,asflhD,+,W 
sigma24,bacA,+,S 
sigma24,bamA,+,S 
sigma24,bamB,+,S 
sigma24,bamC,+,S 
sigma24,bamD,+,S 
sigma24,bamE,+,S 
sigma24,bepA,+,S 
sigma24,bhsA,+,W 
sigma24,cca,+,S 
sigma24,clpX,+,S 
sigma24,cyaR,+,C 
sigma24,degP,+,S 
sigma24,der,+,S 
sigma24,dnaE,+,S 
sigma24,dolP,+,S 
sigma24,dsbC,+,S 
sigma24,eptB,+,S 
sigma24,essD,+,S 
sigma24,fabZ,+,S 
sigma24,fadM,+,W 
sigma24,fkpA,+,S 
sigma24,ftnB,+,S 
sigma24,fusA,+,S 
sigma24,greA,+,S 
sigma24,gspA,+,S 
sigma24,gspB,+,S 
sigma24,hcp,+,S 
sigma24,hcr,+,S 
sigma24,hokE,+,W 
sigma24,hpf,+,S 
sigma24,ibaG,+,W 
sigma24,insK,+,W 
sigma24,lgoR,+,W 
sigma24,lhr,+,S 
sigma24,lon,+,S 
sigma24,lptA,+,S 
sigma24,lptB,+,S 
sigma24,lptD,+,S 
sigma24,lpxA,+,S 
sigma24,lpxB,+,S 
sigma24,lpxD,+,S 
sigma24,lpxP,+,S 
sigma24,lyxK,+,S 
sigma24,malQ,+,S 
sigma24,matA,+,W 
sigma24,micA,+,S 
sigma24,micL,+,S 
sigma24,mscM,+,S 
sigma24,mzrA,+,S 
sigma24,narV,+,S 
sigma24,narW,+,S 
sigma24,opgG,+,S 
sigma24,opgH,+,S 
sigma24,pdxA,+,W 
sigma24,phoQ,+,W 
sigma24,plsB,+,S 
sigma24,prfB,+,S 
sigma24,psd,+,S 
sigma24,ptsN,+,S 
sigma24,rapZ,+,S 
sigma24,rclA,+,W 
sigma24,rclB,+,W 
sigma24,rclC,+,W 
sigma24,recJ,+,S 
sigma24,recR,+,S 
sigma24,rfaD,+,S 
sigma24,rflP,+,W 
sigma24,rnhB,+,S 
sigma24,rnlB,+,S 
sigma24,rpoD,+,S 
sigma24,rpoE,+,S 
sigma24,rpoH,+,S 
sigma24,rpoN,+,S 
sigma24,rrrD,+,S 
sigma24,rseA,+,S 
sigma24,rseB,+,S 
sigma24,rseC,+,S 
sigma24,rseP,+,S 
sigma24,rsmA,+,W 
sigma24,rutR,+,S 
sigma24,rybB,+,S 
sigma24,rzpD,+,S 
sigma24,sbmA,+,S 
sigma24,sgbE,+,S 
sigma24,sgbH,+,S 
sigma24,sgbU,+,S 
sigma24,sixA,+,S 
sigma24,skp,+,S 
sigma24,stfZ,+,W 
sigma24,surA,+,W 
sigma24,tufA,+,S 
sigma24,uspD,+,S 
sigma24,waaC,+,S 
sigma24,waaF,+,S 
sigma24,waaL,+,S 
sigma24,wza,+,S 
sigma24,wzb,+,S 
sigma24,wzc,+,S 
sigma24,yaiW,+,S 
sigma24,ybaB,+,S 
sigma24,ybfG,+,S 
sigma24,ydhI,+,S 
sigma24,ydhJ,+,S 
sigma24,ydhK,+,S 
sigma24,yeaY,+,S 
sigma24,yfeK,+,S 
sigma24,yfeS,+,S 
sigma24,yfeX,+,S 
sigma24,yfeY,+,S 
sigma24,yfgD,+,S 
sigma24,yggN,+,S 
sigma24,yghF,+,S 
sigma24,ygiM,+,S 
sigma24,yhjJ,+,S 
sigma24,yiaK,+,S 
sigma24,yiaL,+,S 
sigma24,yiaM,+,S 
sigma24,yiaN,+,S 
sigma24,yiaO,+,S 
sigma24,yicI,+,S 
sigma24,yicJ,+,S 
sigma24,yidQ,+,S 
sigma24,yieE,+,S 
sigma24,yieF,+,S 
sigma24,yiiS,+,S 
sigma24,yoaC,+,W 
sigma24,yqjA,+,S 
sigma24,ytfJ,+,S 
sigma28,aer,+,S 
sigma28,cheA,+,W 
sigma28,cheB,+,S 
sigma28,cheR,+,S 
sigma28,cheW,+,W 
sigma28,cheY,+,S 
sigma28,cheZ,+,S 
sigma28,flgK,+,W 
sigma28,flgL,+,W 
sigma28,flgM,+,W 
sigma28,flgN,+,W 
sigma28,flgO,+,W 
sigma28,fliA,+,S 
sigma28,fliC,+,S 
sigma28,fliD,+,S 
sigma28,fliE,+,W 
sigma28,fliF,+,W 
sigma28,fliG,+,W 
sigma28,fliH,+,W 
sigma28,fliI,+,W 
sigma28,fliJ,+,W 
sigma28,fliK,+,W 
sigma28,fliL,+,S 
sigma28,fliM,+,S 
sigma28,fliN,+,S 
sigma28,fliO,+,S 
sigma28,fliP,+,S 
sigma28,fliQ,+,S 
sigma28,fliR,+,S 
sigma28,fliS,+,S 
sigma28,fliT,+,S 
sigma28,fliX,+,S 
sigma28,fliZ,+,S 
sigma28,flxA,+,W 
sigma28,hemL,+,W 
sigma28,ispE,+,W 
sigma28,lolB,+,W 
sigma28,modA,+,W 
sigma28,modB,+,W 
sigma28,modC,+,W 
sigma28,motA,+,W 
sigma28,motB,+,W 
sigma28,motR,+,W 
sigma28,oppA,+,W 
sigma28,oppB,+,W 
sigma28,oppC,+,W 
sigma28,oppD,+,W 
sigma28,oppF,+,W 
sigma28,pdeH,+,W 
sigma28,ppdA,+,W 
sigma28,ppdB,+,W 
sigma28,ppdC,+,W 
sigma28,prs,+,W 
sigma28,rdcA,+,W 
sigma28,rdcB,+,W 
sigma28,recC,+,W 
sigma28,tap,+,S 
sigma28,tar,+,S 
sigma28,tcyJ,+,S 
sigma28,trg,+,S 
sigma28,tsr,+,S 
sigma28,ves,+,S 
sigma28,yafW,+,W 
sigma28,yafX,+,W 
sigma28,ycgR,+,W 
sigma28,yecF,+,W 
sigma28,ygbK,+,W 
sigma28,ygdB,+,W 
sigma28,yhiL,+,W 
sigma28,yjcS,+,W 
sigma28,ykfB,+,W 
sigma28,ykfF,+,W 
sigma28,ykfG,+,W 
sigma28,ykfH,+,W 
sigma28,ykfI,+,W 
sigma28,ynjH,+,W 
sigma28,yqjC,+,W 
sigma28,yqjD,+,W 
sigma28,yqjE,+,W 
sigma28,yqjK,+,W 
sigma32,ackA,+,W 
sigma32,adiC,+,W 
sigma32,alaA,+,W 
sigma32,alaT,+,W 
sigma32,alaU,+,S 
sigma32,alaV,+,S 
sigma32,bidA,+,S 
sigma32,bssS,+,W 
sigma32,can,+,S 
sigma32,cas1,+,W 
sigma32,cas2,+,S 
sigma32,casD,+,W 
sigma32,casE,+,W 
sigma32,clpB,+,S 
sigma32,clpP,+,S 
sigma32,clpX,+,S 
sigma32,cnoX,+,W 
sigma32,cra,+,W 
sigma32,creA,+,S 
sigma32,creB,+,S 
sigma32,creC,+,S 
sigma32,crr,+,S 
sigma32,dnaJ,+,S 
sigma32,dnaK,+,S 
sigma32,dsbC,+,W 
sigma32,fkpB,+,S 
sigma32,ftsH,+,S 
sigma32,fxsA,+,S 
sigma32,gapA,+,S 
sigma32,glnS,+,W 
sigma32,gltT,+,S 
sigma32,gltU,+,W 
sigma32,gltV,+,W 
sigma32,gltW,+,W 
sigma32,groL,+,W 
sigma32,groS,+,W 
sigma32,grpE,+,S 
sigma32,hemW,+,S 
sigma32,hflC,+,S 
sigma32,hflK,+,S 
sigma32,hflX,+,S 
sigma32,hfq,+,S 
sigma32,holC,+,S 
sigma32,hslO,+,S 
sigma32,hslR,+,S 
sigma32,hslU,+,S 
sigma32,hslV,+,S 
sigma32,hspQ,+,W 
sigma32,htpG,+,S 
sigma32,htpX,+,S 
sigma32,ibpA,+,S 
sigma32,ibpB,+,S 
sigma32,ileS,+,S 
sigma32,ileT,+,W 
sigma32,ileU,+,S 
sigma32,ileV,+,S 
sigma32,ispH,+,S 
sigma32,lapA,+,S 
sigma32,lapB,+,S 
sigma32,ldhA,+,W 
sigma32,lipB,+,W 
sigma32,lnt,+,S 
sigma32,lon,+,W 
sigma32,lspA,+,S 
sigma32,mbiA,+,S 
sigma32,metA,+,S 
sigma32,mhpT,+,W 
sigma32,miaA,+,S 
sigma32,mlc,+,S 
sigma32,mngA,+,W 
sigma32,mngB,+,W 
sigma32,mpaA,+,W 
sigma32,mutL,+,S 
sigma32,mutM,+,S 
sigma32,nanX,+,W 
sigma32,nanY,+,W 
sigma32,narP,+,S 
sigma32,nfuA,+,S 
sigma32,nusB,+,S 
sigma32,osmF,+,W 
sigma32,pgpA,+,S 
sigma32,pgpC,+,W 
sigma32,phoP,+,S 
sigma32,phoQ,+,S 
sigma32,pncC,+,S 
sigma32,pphA,+,S 
sigma32,ppiD,+,S 
sigma32,prlC,+,W 
sigma32,ptsH,+,S 
sigma32,ptsI,+,S 
sigma32,pyrF,+,S 
sigma32,raiA,+,W 
sigma32,raiZ,+,W 
sigma32,rapA,+,S 
sigma32,rdgB,+,S 
sigma32,recJ,+,W 
sigma32,rfaD,+,S 
sigma32,ribE,+,S 
sigma32,rlmE,+,S 
sigma32,rnlA,+,W 
sigma32,rpmE,+,W 
sigma32,rpoD,+,S 
sigma32,rrfA,+,W 
sigma32,rrfB,+,S 
sigma32,rrfC,+,W 
sigma32,rrfD,+,S 
sigma32,rrfE,+,W 
sigma32,rrfF,+,S 
sigma32,rrfG,+,W 
sigma32,rrfH,+,S 
sigma32,rrlA,+,W 
sigma32,rrlB,+,S 
sigma32,rrlC,+,W 
sigma32,rrlD,+,S 
sigma32,rrlE,+,W 
sigma32,rrlG,+,W 
sigma32,rrlH,+,S 
sigma32,rrsA,+,W 
sigma32,rrsB,+,S 
sigma32,rrsC,+,W 
sigma32,rrsD,+,S 
sigma32,rrsE,+,W 
sigma32,rrsG,+,W 
sigma32,rrsH,+,S 
sigma32,rsmJ,+,W 
sigma32,sdaA,+,S 
sigma32,sdsR,+,S 
sigma32,slt,+,W 
sigma32,tadA,+,W 
sigma32,thiL,+,S 
sigma32,thrV,+,S 
sigma32,topA,+,S 
sigma32,tpke11,+,S 
sigma32,trmA,+,S 
sigma32,tyrR,+,S 
sigma32,valS,+,S 
sigma32,waaC,+,S 
sigma32,waaF,+,S 
sigma32,waaL,+,S 
sigma32,xerD,+,W 
sigma32,yafD,+,S 
sigma32,yafE,+,S 
sigma32,yafU,+,W 
sigma32,ybeD,+,W 
sigma32,ybeX,+,S 
sigma32,ybeY,+,S 
sigma32,ybeZ,+,S 
sigma32,ybfE,+,W 
sigma32,yccE,+,W 
sigma32,yceI,+,W 
sigma32,yceJ,+,W 
sigma32,yciH,+,S 
sigma32,ycjF,+,S 
sigma32,ycjX,+,S 
sigma32,ycjY,+,W 
sigma32,ydeO,+,W 
sigma32,ydhQ,+,S 
sigma32,yeaD,+,S 
sigma32,yehR,+,W 
sigma32,yehW,+,W 
sigma32,yehX,+,W 
sigma32,yehY,+,W 
sigma32,yfbR,+,W 
sigma32,yfjV,+,W 
sigma32,yhdN,+,S 
sigma32,yiaA,+,W 
sigma32,yibA,+,W 
sigma32,yjaZ,+,S 
sigma32,yjhG,+,W 
sigma32,yjhH,+,W 
sigma32,yjhI,+,W 
sigma32,yjiT,+,W 
sigma32,ymjC,+,W 
sigma32,ymjD,+,W 
sigma32,yrdA,+,W 
sigma32,yrfG,+,W 
sigma32,zntR,+,S 
sigma38,aceE,+,C 
sigma38,aceF,+,C 
sigma38,acnA,+,S 
sigma38,acs,+,S 
sigma38,actP,+,S 
sigma38,ada,+,S 
sigma38,adhE,+,S 
sigma38,aidB,+,S 
sigma38,aldB,+,S 
sigma38,alkA,+,S 
sigma38,alkB,+,S 
sigma38,ansP,+,S 
sigma38,appA,+,W 
sigma38,appB,+,W 
sigma38,appC,+,W 
sigma38,appX,+,W 
sigma38,appY,+,W 
sigma38,araF,+,S 
sigma38,araG,+,S 
sigma38,araH,+,S 
sigma38,ariR,+,S 
sigma38,arrS,+,W 
sigma38,artI,+,S 
sigma38,artM,+,S 
sigma38,artP,+,S 
sigma38,artQ,+,S 
sigma38,asr,+,S 
sigma38,astA,+,C 
sigma38,astB,+,C 
sigma38,astC,+,C 
sigma38,astD,+,C 
sigma38,astE,+,C 
sigma38,baeR,+,W 
sigma38,baeS,+,W 
sigma38,blc,+,S 
sigma38,blr,+,S 
sigma38,bolA,+,C 
sigma38,bsmA,+,W 
sigma38,btsT,+,S 
sigma38,btuF,+,S 
sigma38,cbpA,+,S 
sigma38,cbpM,+,S 
sigma38,cfa,+,S 
sigma38,cpxA,+,W 
sigma38,cpxR,+,W 
sigma38,crr,+,S 
sigma38,csgA,+,C 
sigma38,csgB,+,C 
sigma38,csgC,+,C 
sigma38,csgD,+,S 
sigma38,csgE,+,S 
sigma38,csgF,+,S 
sigma38,csgG,+,S 
sigma38,csiE,+,S 
sigma38,csrA,+,S 
sigma38,cyaR,+,C 
sigma38,ddpA,+,W 
sigma38,ddpB,+,W 
sigma38,ddpC,+,W 
sigma38,ddpD,+,W 
sigma38,ddpF,+,W 
sigma38,ddpX,+,W 
sigma38,dgcC,+,S 
sigma38,dhaK,+,W 
sigma38,dhaL,+,W 
sigma38,dhaM,+,W 
sigma38,dhaR,+,W 
sigma38,dinB,+,W 
sigma38,dkgA,+,W 
sigma38,dkgB,+,W 
sigma38,dmsD,+,S 
sigma38,dnaN,+,S 
sigma38,dps,+,S 
sigma38,ecnB,+,S 
sigma38,elaB,+,S 
sigma38,eno,+,W 
sigma38,envC,+,W 
sigma38,epd,+,C 
sigma38,evgA,+,S 
sigma38,evgL,+,S 
sigma38,evgS,+,S 
sigma38,fadL,+,S 
sigma38,fau,+,S 
sigma38,fbaA,+,C 
sigma38,fbaB,+,S 
sigma38,fic,+,C 
sigma38,folK,+,S 
sigma38,frdA,+,S 
sigma38,frdB,+,S 
sigma38,frdC,+,S 
sigma38,frdD,+,S 
sigma38,ftsA,+,S 
sigma38,ftsQ,+,S 
sigma38,ftsZ,+,S 
sigma38,fumC,+,S 
sigma38,gabD,+,S 
sigma38,gabP,+,S 
sigma38,gabT,+,S 
sigma38,gadA,+,S 
sigma38,gadB,+,S 
sigma38,gadC,+,S 
sigma38,gadE,+,S 
sigma38,gadF,+,S 
sigma38,gadW,+,S 
sigma38,gadX,+,S 
sigma38,gadY,+,S 
sigma38,galE,+,C 
sigma38,galK,+,C 
sigma38,galM,+,C 
sigma38,galT,+,C 
sigma38,gapA,+,C 
sigma38,glaH,+,S 
sigma38,glgA,+,S 
sigma38,glgC,+,S 
sigma38,glgP,+,S 
sigma38,glgS,+,S 
sigma38,glk,+,S 
sigma38,glsA,+,S 
sigma38,gltB,+,S 
sigma38,gltD,+,S 
sigma38,gltF,+,S 
sigma38,gor,+,W 
sigma38,gpmA,+,S 
sigma38,gpmM,+,W 
sigma38,gyrB,+,S 
sigma38,hchA,+,S 
sigma38,hdeA,+,S 
sigma38,hdeB,+,S 
sigma38,hdeD,+,S 
sigma38,hdfR,+,W 
sigma38,hmp,+,C 
sigma38,hofM,+,W 
sigma38,hofN,+,W 
sigma38,hofO,+,W 
sigma38,hofP,+,W 
sigma38,htrE,+,S 
sigma38,hyaA,+,S 
sigma38,hyaB,+,S 
sigma38,hyaC,+,S 
sigma38,hyaD,+,S 
sigma38,hyaE,+,S 
sigma38,hyaF,+,S 
sigma38,ihfA,+,S 
sigma38,ihfB,+,S 
sigma38,ilvY,+,S 
sigma38,insC5,+,W 
sigma38,insCD5,+,W 
sigma38,insD5,+,W 
sigma38,insI1,+,W 
sigma38,insN,+,W 
sigma38,katE,+,S 
sigma38,kbp,+,W 
sigma38,ldcC,+,W 
sigma38,lhgD,+,S 
sigma38,lpd,+,C 
sigma38,lsrA,+,W 
sigma38,lsrB,+,W 
sigma38,lsrC,+,W 
sigma38,lsrD,+,W 
sigma38,lsrF,+,W 
sigma38,lsrG,+,W 
sigma38,luxS,+,S 
sigma38,mdtA,+,W 
sigma38,mdtB,+,W 
sigma38,mdtC,+,W 
sigma38,mdtD,+,W 
sigma38,mdtE,+,S 
sigma38,mdtF,+,S 
sigma38,metK,+,S 
sigma38,mglA,+,W 
sigma38,mglB,+,W 
sigma38,mglC,+,W 
sigma38,micF,+,S 
sigma38,mlrA,+,S 
sigma38,mnmG,+,S 
sigma38,mpl,+,W 
sigma38,msyB,+,S 
sigma38,mtn,+,S 
sigma38,murP,+,S 
sigma38,murQ,+,S 
sigma38,murR,+,S 
sigma38,mutS,+,S 
sigma38,narU,+,W 
sigma38,nhaA,+,S 
sigma38,nhaR,+,S 
sigma38,ompF,+,S 
sigma38,ompN,+,W 
sigma38,osmB,+,S 
sigma38,osmC,+,S 
sigma38,osmE,+,S 
sigma38,osmF,+,S 
sigma38,osmY,+,S 
sigma38,otsA,+,S 
sigma38,otsB,+,S 
sigma38,oxyR,+,S 
sigma38,pabA,+,C 
sigma38,patA,+,S 
sigma38,patD,+,W 
sigma38,pcnB,+,S 
sigma38,pdeC,+,W 
sigma38,pdeR,+,S 
sigma38,pdhR,+,C 
sigma38,pfkA,+,S 
sigma38,pfkB,+,S 
sigma38,pgi,+,C 
sigma38,pgk,+,C 
sigma38,phoU,+,S 
sigma38,phr,+,S 
sigma38,poxB,+,C 
sigma38,pphA,+,S 
sigma38,ppk,+,W 
sigma38,ppx,+,W 
sigma38,pqiA,+,S 
sigma38,pqiB,+,S 
sigma38,pqiC,+,S 
sigma38,proP,+,S 
sigma38,proV,+,S 
sigma38,proW,+,S 
sigma38,proX,+,S 
sigma38,pstA,+,S 
sigma38,pstB,+,S 
sigma38,pstC,+,S 
sigma38,pstS,+,S 
sigma38,puuA,+,S 
sigma38,puuB,+,W 
sigma38,puuC,+,W 
sigma38,puuD,+,S 
sigma38,puuE,+,W 
sigma38,puuP,+,S 
sigma38,puuR,+,S 
sigma38,pykA,+,W 
sigma38,pykF,+,W 
sigma38,ravA,+,W 
sigma38,recF,+,S 
sigma38,rhaR,+,S 
sigma38,rhaS,+,S 
sigma38,rpoE,+,S 
sigma38,rpoH,+,S 
sigma38,rraA,+,C 
sigma38,rsd,+,S 
sigma38,rseA,+,S 
sigma38,rseB,+,S 
sigma38,rseC,+,S 
sigma38,rseD,+,S 
sigma38,rsmG,+,S 
sigma38,rssA,+,S 
sigma38,rssB,+,S 
sigma38,ryjA,+,S 
sigma38,sdhX,+,S 
sigma38,sdsN,+,S 
sigma38,sdsR,+,S 
sigma38,setA,+,S 
sigma38,sgrS,+,S 
sigma38,sgrT,+,S 
sigma38,sodC,+,C 
sigma38,sohB,+,W 
sigma38,speB,+,S 
sigma38,speC,+,W 
sigma38,speG,+,W 
sigma38,sra,+,S 
sigma38,ssrS,+,S 
sigma38,sucA,+,S 
sigma38,sucB,+,S 
sigma38,sucC,+,S 
sigma38,sucD,+,S 
sigma38,talA,+,S 
sigma38,tam,+,W 
sigma38,tktB,+,S 
sigma38,tolC,+,S 
sigma38,topA,+,S 
sigma38,tpiA,+,W 
sigma38,treA,+,S 
sigma38,treF,+,W 
sigma38,uspB,+,S 
sigma38,viaA,+,W 
sigma38,wrbA,+,W 
sigma38,xapA,+,S 
sigma38,xapB,+,S 
sigma38,xthA,+,S 
sigma38,yabI,+,S 
sigma38,yadS,+,S 
sigma38,yadV,+,S 
sigma38,yafN,+,W 
sigma38,yafO,+,W 
sigma38,yafP,+,W 
sigma38,ybaT,+,S 
sigma38,ybgA,+,S 
sigma38,ybiI,+,W 
sigma38,ybjP,+,S 
sigma38,yccJ,+,W 
sigma38,ycgZ,+,S 
sigma38,yciE,+,W 
sigma38,yciF,+,W 
sigma38,yciG,+,W 
sigma38,yciT,+,S 
sigma38,yciZ,+,S 
sigma38,ydbD,+,W 
sigma38,ydbK,+,W 
sigma38,ydcS,+,W 
sigma38,ydcT,+,W 
sigma38,ydcU,+,W 
sigma38,ydcV,+,W 
sigma38,yddG,+,S 
sigma38,ydhT,+,S 
sigma38,ydhU,+,S 
sigma38,ydhV,+,S 
sigma38,ydhW,+,S 
sigma38,ydhX,+,S 
sigma38,ydhY,+,S 
sigma38,yehW,+,S 
sigma38,yehX,+,S 
sigma38,yehY,+,S 
sigma38,yeiL,+,S 
sigma38,yffO,+,W 
sigma38,yffP,+,W 
sigma38,yggE,+,S 
sigma38,ygiB,+,S 
sigma38,ygiC,+,S 
sigma38,yhfG,+,C 
sigma38,yhiD,+,S 
sigma38,yhiM,+,W 
sigma38,yhjG,+,W 
sigma38,yiaG,+,S 
sigma38,yibQ,+,W 
sigma38,yihG,+,S 
sigma38,yjcH,+,S 
sigma38,ymgA,+,S 
sigma38,ymgC,+,S 
sigma38,ymiC,+,S 
sigma38,ymjE,+,S 
sigma38,ynfB,+,W 
sigma38,ynfE,+,S 
sigma38,ynfF,+,S 
sigma38,ynfG,+,S 
sigma38,ynfH,+,S 
sigma38,yqiG,+,W 
sigma38,yqiH,+,W 
sigma38,yqiI,+,W 
sigma38,ytfK,+,S 
sigma38,znuA,+,W 
sigma54,acrD,+,W 
sigma54,actP,+,W 
sigma54,amtB,+,W 
sigma54,argT,+,W 
sigma54,aslB,+,W 
sigma54,astA,+,C 
sigma54,astB,+,C 
sigma54,astC,+,C 
sigma54,astD,+,C 
sigma54,astE,+,C 
sigma54,atoA,+,W 
sigma54,atoB,+,W 
sigma54,atoD,+,W 
sigma54,atoE,+,W 
sigma54,chaC,+,W 
sigma54,dcuD,+,W 
sigma54,ddpA,+,W 
sigma54,ddpB,+,W 
sigma54,ddpC,+,W 
sigma54,ddpD,+,W 
sigma54,ddpF,+,W 
sigma54,ddpX,+,W 
sigma54,emrD,+,W 
sigma54,fdhF,+,S 
sigma54,fhlA,+,S 
sigma54,flhC,+,W 
sigma54,flhD,+,W 
sigma54,focB,+,S 
sigma54,glmY,+,S 
sigma54,glnA,+,S 
sigma54,glnG,+,S 
sigma54,glnH,+,S 
sigma54,glnK,+,W 
sigma54,glnL,+,S 
sigma54,glnP,+,S 
sigma54,glnQ,+,S 
sigma54,glnZ,+,S 
sigma54,glpQ,+,S 
sigma54,gltI,+,W 
sigma54,gltJ,+,W 
sigma54,gltK,+,W 
sigma54,gltL,+,W 
sigma54,gnsA,+,S 
sigma54,hisJ,+,W 
sigma54,hisM,+,W 
sigma54,hisP,+,W 
sigma54,hisQ,+,W 
sigma54,htpG,+,W 
sigma54,hycA,+,S 
sigma54,hycB,+,S 
sigma54,hycC,+,S 
sigma54,hycD,+,S 
sigma54,hycE,+,S 
sigma54,hycF,+,S 
sigma54,hycG,+,S 
sigma54,hycH,+,S 
sigma54,hycI,+,S 
sigma54,hydN,+,S 
sigma54,hyfA,+,S 
sigma54,hyfB,+,S 
sigma54,hyfC,+,S 
sigma54,hyfD,+,S 
sigma54,hyfE,+,S 
sigma54,hyfF,+,S 
sigma54,hyfG,+,S 
sigma54,hyfH,+,S 
sigma54,hyfI,+,S 
sigma54,hyfJ,+,S 
sigma54,hyfR,+,S 
sigma54,hypA,+,S 
sigma54,hypB,+,S 
sigma54,hypC,+,S 
sigma54,hypD,+,S 
sigma54,hypE,+,S 
sigma54,hypF,+,S 
sigma54,ibpB,+,S 
sigma54,nac,+,S 
sigma54,nikA,+,W 
sigma54,nikB,+,W 
sigma54,nikC,+,W 
sigma54,nikD,+,W 
sigma54,nikE,+,W 
sigma54,nikR,+,W 
sigma54,norV,+,S 
sigma54,norW,+,S 
sigma54,patA,+,S 
sigma54,potF,+,W 
sigma54,potG,+,W 
sigma54,potH,+,W 
sigma54,potI,+,W 
sigma54,prpB,+,W 
sigma54,prpC,+,W 
sigma54,prpD,+,W 
sigma54,prpE,+,W 
sigma54,pspA,+,S 
sigma54,pspB,+,S 
sigma54,pspC,+,S 
sigma54,pspD,+,S 
sigma54,pspE,+,S 
sigma54,pspG,+,S 
sigma54,pspH,+,S 
sigma54,puuP,+,W 
sigma54,radD,+,W 
sigma54,rcdB,+,W 
sigma54,relA,+,S 
sigma54,rhaD,+,W 
sigma54,rpoE,+,S 
sigma54,rpoH,+,C 
sigma54,rseA,+,S 
sigma54,rseB,+,S 
sigma54,rseC,+,S 
sigma54,rseD,+,S 
sigma54,rtcA,+,S 
sigma54,rtcB,+,S 
sigma54,rtcR,+,W 
sigma54,rutA,+,W 
sigma54,rutB,+,W 
sigma54,rutC,+,W 
sigma54,rutD,+,W 
sigma54,rutE,+,W 
sigma54,rutF,+,W 
sigma54,rutG,+,W 
sigma54,sroC,+,W 
sigma54,ssnA,+,W 
sigma54,xapB,+,S 
sigma54,xdhA,+,S 
sigma54,xdhB,+,S 
sigma54,xdhC,+,S 
